Symbol,Date,Close,RSI_14,MACD,BB_pctB,Volume_ratio,ML_confidence,Active_signals
BNL,2026-06-22,15200.0,52.17572727353176,10.45264151594347,0.634461610905875,0.8571428571428571,0.6094139,none
MDB,2026-06-25,590.0,39.25066880754324,-3.449788474942011,0.046862374544035384,0.50790177149268,0.4130719,none
MSHL,2026-06-25,637.0,25.18807115495233,-12.30865112125946,-0.3818371946645839,1.8357395544507122,0.44222283,BB-lower
MLBBL,2026-06-25,1168.0,42.05074347816527,-13.6670615461569,0.24201055258219048,0.16804369135975353,0.41008425,none
MFIL,2026-06-25,777.8,47.52464791905975,-3.254379501044241,0.3838471697590215,0.8885867831680185,0.58474785,none
MNBBL,2026-06-25,366.9,38.51576182707852,-1.1755443293403118,-0.04057050906165211,0.8554409544028574,0.4487226,BB-lower
SANIMA,2026-06-25,351.8,36.52435054599472,-1.986475446158636,0.05394649020237109,0.4920705031129059,0.43864158,none
NABIL,2026-06-25,521.9,35.071039316207376,-0.623455915346085,-0.15770767635879354,1.2074073794261004,0.55136585,BB-lower
RLFL,2026-06-25,489.0,58.27193287588731,10.19755182205381,0.6985995546658109,0.6374003230551749,0.53518814,none
RNLI,2026-06-25,452.0,31.760297850404086,-2.9737226236843526,0.06050178776152059,0.4797191887675507,0.5061871,none
RBCL,2026-06-25,14429.0,39.16145616236408,-200.27361379489048,0.15726376539098585,0.3215434083601286,0.47096235,none
RAWA,2026-06-25,450.0,20.95889007800584,-36.25256772043088,0.0843073300781063,1.1137967296826732,0.6451738,none
PRIN,2026-06-25,688.0,48.01849051253387,5.273112884991974,0.25846373369095715,0.12426463115818474,0.40833527,none
PCBL,2026-06-25,233.0,35.86689278463196,-1.7347844870394056,0.0829899036125126,0.6858777059955397,0.44108745,none
SADBL,2026-06-25,403.7,36.91960781339719,-2.82412222752788,0.08832591518560241,4.865005192107996,0.40734798,none
OHL,2026-06-25,680.1,42.79356890211736,-3.020182632886872,-0.04513853894190943,0.5266871771712439,0.50680125,BB-lower
SAHAS,2026-06-25,648.9,45.20076329569495,0.8609641457064754,0.11264147035606957,0.9144854540227079,0.39789328,none
NUBL,2026-06-25,632.0,30.06294416284921,-8.347780134965433,0.03568095770317452,0.8314606741573034,0.4220064,none
NTC,2026-06-25,845.0,33.24816054602847,-8.19450357851099,0.3063114793396254,0.4416958126193945,0.33842233,none
NRIC,2026-06-25,949.0,42.095873481116,-6.960933657335545,0.20317055113005528,0.1661144265943957,0.5104606,none
NMB,2026-06-25,238.1,34.336533365730574,-1.4282320870434262,-0.018429003094084368,0.4198174613901674,0.46937677,BB-lower
NLIC,2026-06-25,745.0,32.05313789238431,-5.184931080237334,0.03316779432662411,0.8891720089317872,0.51854,none
